open_time,open,high,low,close,volume
2025-06-17 02:18:00,376.90,376.99,376.14,376.41,105016.10741
2025-06-17 02:19:00,376.34,376.34,375.11,375.32,92495.83225
2025-06-17 02:20:00,375.33,376.35,374.93,376.10,114835.19060
2025-06-17 02:21:00,376.11,376.51,376.05,376.37,68064.26385
2025-06-17 02:22:00,376.36,376.36,375.64,375.65,73967.96692
2025-06-17 02:23:00,375.65,375.83,375.08,375.31,39384.15927
2025-06-17 02:24:00,375.26,376.08,375.13,376.08,198897.07618
2025-06-17 02:25:00,376.07,376.25,375.10,375.32,156588.61433
2025-06-17 02:26:00,375.33,376.32,375.25,376.19,90008.44929
2025-06-17 02:27:00,376.24,377.07,376.15,376.58,100785.92227
2025-06-17 02:28:00,376.62,376.73,375.87,376.02,103822.54654
2025-06-17 02:29:00,375.98,376.79,375.84,376.76,63531.47039
2025-06-17 02:30:00,376.75,377.19,376.51,377.14,120152.27138
2025-06-17 02:31:00,377.16,377.16,376.75,377.02,45396.90439
2025-06-17 02:32:00,377.01,377.04,376.14,376.18,85970.26417
2025-06-17 02:33:00,376.18,376.25,375.15,375.28,79884.47389
2025-06-17 02:34:00,375.29,375.55,374.61,374.72,56330.93825
2025-06-17 02:35:00,374.73,374.74,373.18,374.24,298960.37560
2025-06-17 02:36:00,374.24,375.43,373.77,374.86,97883.49306
2025-06-17 02:37:00,374.86,375.94,374.62,375.70,98174.31260
2025-06-17 02:38:00,375.63,376.03,375.18,375.18,35827.53846
2025-06-17 02:39:00,375.16,375.59,375.13,375.41,61152.98028
2025-06-17 02:40:00,375.43,375.43,374.64,374.88,158468.92715
2025-06-17 02:41:00,374.87,374.87,373.70,373.80,142541.37030
2025-06-17 02:42:00,373.78,374.50,373.49,373.77,226457.07832
2025-06-17 02:43:00,373.77,374.81,373.77,374.48,66156.45062
2025-06-17 02:44:00,374.54,374.66,374.22,374.61,44775.72388
2025-06-17 02:45:00,374.60,375.01,374.31,374.52,73412.20401
2025-06-17 02:46:00,374.53,375.05,373.90,373.98,256580.69645
2025-06-17 02:47:00,373.94,374.49,373.44,373.52,92285.00819
2025-06-17 02:48:00,373.57,373.63,372.63,373.38,199815.61084
2025-06-17 02:49:00,373.41,373.61,372.40,372.57,180840.22069
2025-06-17 02:50:00,372.57,372.57,371.49,371.73,112020.60528
2025-06-17 02:51:00,371.76,372.12,371.38,372.06,114960.85117
2025-06-17 02:52:00,372.08,372.33,371.51,371.91,67505.89550
